date,real_gdp,inflation,industrial_production,central_bank_rate,exports,imports
2004-04-01,18650362.7,2.695418,1.460244565117679,6.0,1216114.0,1193044.7
2004-07-01,18850258.9,4.202801999999999,1.8374371029449506,6.0,1270419.0,1504160.0
2004-10-01,21145497.6,4.17495,0.2927615303309427,6.0,1466165.2,1711958.1
2005-01-01,21973763.5,4.232804,0.921194085473427,6.0,1805974.3,1721613.9
2005-04-01,20370646.8,4.002625,-0.6162150596348034,6.0,1554445.6,1849133.1
2005-07-01,20441921.1,3.713188,0.08375778574502096,6.0,1598966.2,1885004.3
2005-10-01,23042974.4,5.025445,1.4296269320554167,6.0,1864711.4,2069844.3
2006-01-01,24249816.4,4.505076,1.321105638327791,6.0,2188042.7,2163456.9
2006-04-01,21879320.0,5.949156,0.111350431549395,6.0,2077665.6,2401870.2
2006-07-01,22534949.7,6.223156,1.4383736799900566,6.0,2276950.5,2609235.1
2006-10-01,25226863.2,6.464124,1.7581853546290434,6.0,2215997.3,2572002.2
2007-01-01,26626257.5,7.002801,1.3489835887827306,6.0,2586494.9,2608343.4
2007-04-01,24244392.2,6.318681,1.5953585799047472,6.0,2289987.2,2626236.8
2007-07-01,24594738.9,6.702413000000001,-0.29074339669057664,6.0,2409144.3,2784700.5
2007-10-01,27887618.8,5.511811,1.7270842174444692,6.0,2650548.8,3036105.2
2008-01-01,28976145.0,6.282722,0.7416538107602261,6.0,2961437.4,3493438.7
2008-04-01,26204314.2,7.7519380000000035,0.4577908932366917,6.0,3374111.5,3815949.5
2008-07-01,26251284.5,9.045226,0.39031113704045667,6.0,3614483.0,4483009.6
2008-10-01,28315604.9,10.19901,-2.2037888411019777,6.0,3295866.0,4068014.4
2009-01-01,29044540.3,9.359606,-0.5032903009852536,6.0,3162352.9,3441633.9
2009-04-01,27512912.4,8.872902,1.6880215873168967,6.0,2998999.9,3502487.3
2009-07-01,28078026.8,11.75115,1.6951438434948567,6.0,3128305.5,3765957.4
2009-10-01,30640610.6,13.31828,0.2774295663713,6.0,3332525.4,4347844.3
2010-01-01,32896403.1,15.31532,0.9294806709713863,6.0,3683541.0,4516504.4
2010-04-01,30344950.3,13.65639,-0.42677272661644367,6.0,3747587.7,4780071.1
2010-07-01,30795809.8,10.30928,1.3029995009513011,6.0,3904290.0,4817300.0
2010-10-01,33916232.4,9.163346,0.88989121081805,6.0,4542756.9,5097080.1
2011-01-01,36293323.9,8.984375,1.2743767492721993,6.0,5112147.3,5385920.0
2011-04-01,33424678.9,8.914728999999998,-0.28977500701959996,6.0,4946474.8,6112216.7
2011-07-01,32471105.0,9.158878,-0.9695414978061727,6.0,5055445.6,6216279.0
2011-10-01,35368180.0,8.394160000000001,1.2474930064281728,6.0,5597729.2,7025651.4
2012-01-01,37598642.7,7.168459,-0.5970081141721506,9.5,5908038.5,7150386.0
2012-04-01,35051685.2,10.14235,-0.2298838592874266,9.0,5574272.2,6987057.6
2012-07-01,34904219.7,9.760274,-0.6129793599109663,9.0,6965567.2,7847222.7
2012-10-01,37269711.9,10.10101,0.5717672976163531,9.0,5678487.2,7796014.9
2013-01-01,39213884.3,11.70569,0.5535643894339944,8.65,6256554.8,7708793.2
2013-04-01,37311501.9,10.66236,-0.7261563960152787,8.25,6181918.6,7499445.2
2013-07-01,37465403.7,10.76443,1.675952554393671,9.875,7497965.7,8078473.9
2013-10-01,39705281.0,10.55046,-0.2660962066048714,8.75,7293165.5,7649794.9
2014-01-01,41309074.4,6.886228,0.40873100427752834,9.0,7685876.7,7925213.9
2014-04-01,40305363.0,6.861314,0.7875376131739901,9.0,7091502.8,7814231.8
2014-07-01,40726433.3,6.760563,0.2558148508262307,9.0,7294268.8,8206811.6
2014-10-01,42056920.1,4.979253,0.04771525696961021,9.0,7349566.4,8164017.2
2015-01-01,44247008.8,6.582633,-0.15486783522100633,8.5,6992356.9,7398793.0
2015-04-01,43365565.7,5.874317,0.25829314038419166,8.25,6734348.6,7398063.5
2015-07-01,43998315.9,4.617414,0.616204367658758,8.25,6892920.3,7762114.5
2015-10-01,45083938.5,6.455863,0.45283805429948276,7.75,6795377.7,7403865.7
2016-01-01,48268479.0,5.65046,0.2943869002220583,7.75,6950854.5,7155222.9
